train,test,params,test_return,test_sharpe
2017-09-01..2020-02-17,2020-02-18..2020-06-16,"{'macd_fast': 12, 'don_n': 30, 'target_vol': 0.4}",-0.03634791763785894,-0.09437516537706614
2017-12-30..2020-06-16,2020-06-17..2020-10-14,"{'macd_fast': 12, 'don_n': 30, 'target_vol': 0.4}",0.23802186852150364,2.160029928621131
2018-04-29..2020-10-14,2020-10-15..2021-02-11,"{'macd_fast': 12, 'don_n': 20, 'target_vol': 0.4}",1.5710284465254274,6.363187647799045
2018-08-27..2021-02-11,2021-02-12..2021-06-11,"{'macd_fast': 12, 'don_n': 20, 'target_vol': 0.4}",0.05183340958790539,0.58792769987094
2018-12-25..2021-06-11,2021-06-12..2021-10-09,"{'macd_fast': 12, 'don_n': 20, 'target_vol': 0.4}",0.1587618730256446,1.4151149284204323
2019-04-24..2021-10-09,2021-10-10..2022-02-06,"{'macd_fast': 12, 'don_n': 20, 'target_vol': 0.4}",-0.0924498913989763,-0.8573381935574063
2019-08-22..2022-02-06,2022-02-07..2022-06-06,"{'macd_fast': 12, 'don_n': 15, 'target_vol': 0.4}",-0.06267605702387324,-1.0592545815921088
2019-12-20..2022-06-06,2022-06-07..2022-10-04,"{'macd_fast': 12, 'don_n': 15, 'target_vol': 0.4}",-0.03909857165453012,-0.49244155341513096
2020-04-18..2022-10-04,2022-10-05..2023-02-01,"{'macd_fast': 12, 'don_n': 15, 'target_vol': 0.4}",0.09659166104147165,1.5458714571365877
2020-08-16..2023-02-01,2023-02-02..2023-06-01,"{'macd_fast': 12, 'don_n': 15, 'target_vol': 0.4}",0.005647696240468791,0.19494105280077045
2020-12-14..2023-06-01,2023-06-02..2023-09-29,"{'macd_fast': 12, 'don_n': 15, 'target_vol': 0.6}",-0.05900317251876008,-0.8171849936706307
2021-04-13..2023-09-29,2023-09-30..2024-01-27,"{'macd_fast': 12, 'don_n': 15, 'target_vol': 0.4}",0.2052228853105169,2.139674907912025
2021-08-11..2024-01-27,2024-01-28..2024-05-26,"{'macd_fast': 12, 'don_n': 15, 'target_vol': 0.6}",0.4092343397594711,2.9687880342297412
2021-12-09..2024-05-26,2024-05-27..2024-09-23,"{'macd_fast': 12, 'don_n': 30, 'target_vol': 0.4}",-0.02175889696132116,-0.18834027958940144
2022-04-08..2024-09-23,2024-09-24..2025-01-21,"{'macd_fast': 12, 'don_n': 30, 'target_vol': 0.4}",0.13804687719039044,1.4559816439014444
2022-08-06..2025-01-21,2025-01-22..2025-05-21,"{'macd_fast': 12, 'don_n': 30, 'target_vol': 0.4}",0.01332289118601282,0.28427125664532926
2022-12-04..2025-05-21,2025-05-22..2025-09-18,"{'macd_fast': 12, 'don_n': 30, 'target_vol': 0.4}",0.15447644925401383,2.3901106080907177
2023-04-03..2025-09-18,2025-09-19..2026-01-16,"{'macd_fast': 12, 'don_n': 30, 'target_vol': 0.4}",-0.149325844085625,-2.30145220310183
2023-08-01..2026-01-16,2026-01-17..2026-05-16,"{'macd_fast': 12, 'don_n': 20, 'target_vol': 0.4}",-0.036137476207598995,-0.6416854095679463
